word,pos,lemma
would,VERB,will
could,VERB,can
should,VERB,shall
brethren,NOUN,brethren
longer,ADV,long
better,ADV,well
clothes,NOUN,clothes
smote,VERB,smite
farther,ADV,far
wrought,VERB,wrought
best,ADV,well
dwelt,VERB,dwell
sooner,ADV,soon
ashes,NOUN,ash
nearer,ADV,near
singing,VERB,sing
eldest,ADJ, eldest
tidings,NOUN,tidings
need,VERB,need
least,ADV,less
stricken,VERB,strike
farther,ADJ,far
abode,VERB,abide
clad,VERB,clad
elder,ADJ, elder
halfpence,NOUN,halfpenny
species,NOUN,species
politics,NOUN,politics
masses,NOUN,mass
faster,ADV,fast
staid,VERB,stay
louder,ADV,loud
closer,ADV,close
men,NOUN,man
remains,NOUN,remains
lesser,ADJ,lesser
swinging,VERB,swing
farthest,ADJ,far
summons,NOUN,summons
harder,ADV,hard
forsook,VERB,forsake
odds,NOUN,odds
higher,ADV,high
strove,VERB,strive
soles,NOUN,sole
yonder,ADJ,yonder
seamen,NOUN,seaman
earlier,ADV,early
swam,VERB,swim
gallows,NOUN,gallows
oarsmen,NOUN,oarsman
are,VERB,be
deeps,NOUN,deeps
later,ADJ,late
scissors,NOUN,scissors
deeper,ADV,deep
hysterics,NOUN,hysterics
lower,ADV,low
am,VERB,be
besought,VERB,beseech
marches,NOUN,march
confess,VERB,confess
worse,ADV,bad
drank,VERB,drink
bunches,NOUN,bunch
forgave,VERB,forgive
beaux,NOUN,beau
ouches,NOUN,ouch
spoils,NOUN,spoils
outstretched,VERB,outstretch
entrails,NOUN,entrails
vertebrae,NOUN,vertebra
sting,VERB,sting
congratulations,NOUN,congratulations
specimen,NOUN,specimen
wooded,VERB,wood
lice,NOUN,louse
shorn,VERB,shear
ring,VERB,ring
crosses,NOUN,cross
hieroglyphics,NOUN,hieroglyphics
fling,VERB,fling
strata,NOUN,stratum
dealings,NOUN,dealings
quicker,ADV,quick
environs,NOUN,environs
measles,NOUN,measles
knelt,VERB,kneel
nether,ADJ,nether
bade,VERB,bid
rang,VERB,ring
omen,NOUN,omen
wider,ADV,wide
guineas,NOUN,guinea
stove,VERB,stave
dues,NOUN,dues
kinsmen,NOUN,kinsman
needs,VERB,need
claws,NOUN,claw
nearest,ADV,near
travels,NOUN,travels
pantaloons,NOUN,pantaloons
tatters,NOUN,tatters
lilacs,NOUN,lilac
furthest,ADJ,far
hercules,NOUN,hercules
lyes,NOUN,lye
tableaus,NOUN,tableau
pleasanter,ADJ,pleasant
overheard,VERB,overhear
ewes,NOUN,ewe
sling,VERB,sling
apparelled,VERB,apparel
slain,VERB,slay
wicked,VERB,wick
surroundings,NOUN,surroundings
mathematics,NOUN,mathematics
proceeds,NOUN,proceeds
plateaus,NOUN,plateau
belongings,NOUN,belongings
dreamt,VERB,dream
forgot,VERB,forget
adieus,NOUN,adieu
finances,NOUN,finances
minutiae,NOUN,minutia
foretold,VERB,foretell
stank,VERB,stink
smitten,VERB,smite
beheld,VERB,behold
girt,VERB,gird
wove,VERB,weave
extolled,VERB,extol
purer,ADJ,pure
risen,VERB,rise
pence,NOUN,penny
softest,ADJ,soft
tattered,VERB,tatter
clove,VERB,cleave
annals,NOUN,annals
sulks,NOUN,sulks
cosmos,NOUN,cosmos
pyjamas,NOUN,pyjamas
fiercer,ADJ,fierce
goggles,NOUN,goggles
bespoke,VERB,bespeak
mimicking,VERB,mimick
appalled,VERB,appall
fuller,ADV,full
voyages,NOUN,voyage
enrolled,VERB,enroll
slender,ADJ,slender
appalling,VERB,appall
fumes,NOUN,fumes
savannas,NOUN,savanna
subtlest,ADJ,subtle
heavier,ADV,heavy
nearer,ADJ,near
auspices,NOUN,auspice
fuller,ADJ,full
whereabouts,NOUN,whereabouts
extolling,VERB,extol
knew,VERB,know
farther,ADJ,far
pilled,VERB,pill
earing,VERB,ear
scabbed,VERB,scab
drunk,VERB,drink
shred,VERB,shred
writings,NOUN,writings
slower,ADV,slow
wisps,NOUN,wisp
ethics,NOUN,ethics
lightning,VERB,lightning
aesthetics,NOUN,aesthetics
vitals,NOUN,vitals
metaphysics,NOUN,metaphysics
serfs,NOUN,serf
limited,VERB,limit
warranties,NOUN,warranty
hove,VERB,heave
mews,NOUN,mews
rhinoceros,NOUN,rhinoceros
pillared,VERB,pillar
bedclothes,NOUN,bedclothes
overshot,VERB,overshoot
bobs,NOUN,bob
string,VERB,string
cobwebs,NOUN,cobweb
clasps,NOUN,clasp
molasses,NOUN,molasses
catarrhs,NOUN,catarrh
candelabra,NOUN,candelabrum
humanities,NOUN,humanities
jibs,NOUN,jib
backwoods,NOUN,backwoods
canvas,NOUN,canvas
imperilled,VERB,imperil
obstetrics,NOUN,obstetrics
buffaloes,NOUN,buffalo
outskirts,NOUN,outskirts
monarchs,NOUN,monarch
tweezers,NOUN,tweezers
cruellest,ADJ,cruel
subdues,VERB,subdue
blest,VERB,bless
wing,VERB,wing
rung,VERB,ring
sweetest,ADJ,sweet
fitter,ADJ,fit
cling,VERB,cling
genitals,NOUN,genitals
deliria,NOUN,delirium
winnings,NOUN,winnings
dearest,ADJ,dear
abdomen,NOUN,abdomen
tenderer,ADJ,tender
papas,NOUN,papa
smartened,VERB,smarten
cleverer,ADJ,clever
likeliest,ADJ,likely
cross,VERB,cross
clearest,ADV,clear
mildest,ADJ,mild
foresaw,VERB,foresee
prettier,ADJ,pretty
overcame,VERB,overcome
savings,NOUN,savings
billiards,NOUN,billiards
dearer,ADJ,dear
midwives,VERB,midwife
bolled,VERB,boll
eared,VERB,ear
gendered,VERB,gender
forsaken,VERB,forsake
overtaken,VERB,overtake
hid,VERB,hide
putrifying,VERB,putrify
satyrs,NOUN,satyr
oppress,VERB,oppress
tares,VERB,tare
outwent,VERB,outgo
shambles,NOUN,shambles
abominations,NOUN,abomination
forefeet,NOUN,forefoot
ate,VERB,eat
cotyledons,NOUN,cotyledon
spat,VERB,spit
firmer,ADV,firm
togas,NOUN,toga
mistook,VERB,mistake
maniacs,NOUN,maniac
automata,NOUN,automaton
windowed,VERB,window
straggliest,ADJ,straggly
likelier,ADJ,likely
knickers,NOUN,knickers
webs,NOUN,web
dwarfs,NOUN,dwarf
economics,NOUN,economics
misunderstood,VERB,misunderstand
spectacles,NOUN,spectacle
acumen,NOUN,acumen
telegraphs,VERB,telegraph
got,VERB,get
earnings,NOUN,earnings
dislikes,NOUN,dislike
deserts,NOUN,desert
lambs,NOUN,lamb
shrunk,VERB,shrink
touched,VERB,touch
straws,NOUN,straw
spoonfuls,NOUN,spoonful
premiums,NOUN,premium
puns,NOUN,pun
tripods,NOUN,tripod
sera,NOUN,serum
progress,NOUN,progress
fuzzing,VERB,fuzz
trans,NOUN,tran
gathered,VERB,gather
hypos,NOUN,hypo
ponchos,NOUN,poncho
cobs,NOUN,cob
adieux,NOUN,adieu
grasps,VERB,grasp
gulfs,NOUN,gulf
sofas,NOUN,sofa
ottomans,NOUN,ottoman
veins,NOUN,vein
figured,VERB,figure
outfits,NOUN,outfit
genera,NOUN,genus
pelvis,NOUN,pelvis
compass,NOUN,compass
windows,NOUN,window
filliping,VERB,fillip
skulled,VERB,skull
rises,VERB,rise
shaking,VERB,shake
sprained,VERB,sprain
fungi,NOUN,fungus
torsoes,NOUN,torso
sled,VERB,sled
lit,VERB,light
provincialisms,NOUN,provincialism
crews,NOUN,crew
eaves,NOUN,eaves
masted,VERB,mast
blent,VERB,blend
trod,VERB,tread
vapoured,VERB,vapour
bit,VERB,bite
damndest,ADJ,damned
ginger,ADJ,ginger
bitters,NOUN,bitters
honeycombs,NOUN,honeycomb
suds,NOUN,suds
hamstring,VERB,hamstring
anathemas,NOUN,anathema
tyros,NOUN,tyro
outreaching,VERB,outreach
smaller,ADV,small
lanterns,NOUN,lantern
slabs,NOUN,slab
turns,VERB,turn
tiered,VERB,tier
wasps,NOUN,wasp
flashes,NOUN,flash
wildest,ADJ,wild
anchors,NOUN,anchor
wring,VERB,wring
laid,VERB,lay
outstretching,VERB,outstretch
interwove,VERB,interweave
ulysses,NOUN,ulysses
chose,VERB,choose
stateliest,ADJ,stately
damasked,VERB,damask
amours,NOUN,amour
enthralled,VERB,enthrall
swiftest,ADJ,swift
depraved,VERB,deprave
resigns,VERB,resign
dis,VERB,dis
sledded,VERB,sled
won,VERB,win
droppings,NOUN,droppings
obsequies,NOUN,obsequies
chid,VERB,chide
led,VERB,lead
loosest,ADJ,loose
oats,NOUN,oat
ploughs,NOUN,plough
sacs,NOUN,sac
bussing,VERB,bus
soonest,ADV,soon
hymen,NOUN,hymen
telegraphs,NOUN,telegraph
muftis,NOUN,mufti
sagas,NOUN,saga
wooding,VERB,wood
noblest,ADJ,noble
trellis,NOUN,trellis
heed,VERB,heed
commonest,ADJ,common
bureaus,NOUN,bureau
gutting,VERB,gut
arrears,NOUN,arrears
semen,NOUN,semen
sallying,VERB,sally
sing,VERB,sing
corps,NOUN,corps
maestros,NOUN,maestro
ratified,VERB,ratify
worst,ADV,bad
wanding,VERB,wand
sassafras,NOUN,sassafras
highest,ADV,high
denser,ADJ,dense
dramas,NOUN,drama
whirls,NOUN,whirl
tableaux,NOUN,tableau
leaves,NOUN,leaf
